% Created using /stochastic/trunk/tools/piCurves/piCurve.py
% and /home/andrew.matas/repositories/stochastic/trunk/analyses/O2/iso/results/PI_curve/make_o1o2_py_curve.py
%
# f (Hz)	sigma(f)	PI(f)
3.015625e+01	2.082665e-07	9.696465e-09
3.018750e+01	2.031635e-07	9.669720e-09
3.021875e+01	2.002379e-07	9.643078e-09
3.025000e+01	1.979403e-07	9.616535e-09
3.028125e+01	1.963034e-07	9.590094e-09
3.031250e+01	1.974602e-07	9.563752e-09
3.034375e+01	2.066657e-07	9.537509e-09
3.037500e+01	2.021877e-07	9.513989e-09
3.040625e+01	1.909322e-07	9.491190e-09
3.043750e+01	1.890748e-07	9.468468e-09
3.046875e+01	1.888310e-07	9.445824e-09
3.050000e+01	1.907430e-07	9.423257e-09
3.053125e+01	2.030184e-07	9.400767e-09
3.056250e+01	2.104252e-07	9.378354e-09
3.059375e+01	1.902528e-07	9.356017e-09
3.062500e+01	1.871007e-07	9.333756e-09
3.065625e+01	1.862723e-07	9.311570e-09
3.068750e+01	1.877061e-07	9.289460e-09
3.071875e+01	1.928331e-07	9.267425e-09
3.075000e+01	1.959208e-07	9.245464e-09
3.078125e+01	1.893807e-07	9.223578e-09
3.081250e+01	1.843777e-07	9.201765e-09
3.084375e+01	1.840773e-07	9.180026e-09
3.087500e+01	1.841075e-07	9.158361e-09
3.090625e+01	1.841414e-07	9.136768e-09
3.093750e+01	1.843773e-07	9.115248e-09
3.096875e+01	1.848711e-07	9.093800e-09
3.100000e+01	1.916406e-07	9.072425e-09
3.103125e+01	1.835286e-07	9.051121e-09
3.106250e+01	1.823320e-07	9.029994e-09
3.109375e+01	1.812651e-07	9.011852e-09
3.112500e+01	1.811823e-07	8.993765e-09
3.115625e+01	1.808271e-07	8.975733e-09
3.118750e+01	1.800304e-07	8.957754e-09
3.121875e+01	1.785814e-07	8.939830e-09
3.125000e+01	1.771643e-07	8.921959e-09
3.128125e+01	1.755061e-07	8.904142e-09
3.131250e+01	1.745051e-07	8.886378e-09
3.134375e+01	1.746754e-07	8.868667e-09
3.137500e+01	1.828102e-07	8.851010e-09
3.140625e+01	2.266795e-07	8.833404e-09
3.143750e+01	inf	8.815852e-09
3.146875e+01	4.917021e-07	8.798351e-09
3.150000e+01	5.085136e-07	8.780903e-09
3.153125e+01	4.873988e-07	8.763506e-09
3.156250e+01	4.909679e-07	8.746161e-09
3.159375e+01	1.741323e-07	8.728868e-09
3.162500e+01	1.732966e-07	8.711626e-09
3.165625e+01	1.722156e-07	8.694435e-09
3.168750e+01	1.716569e-07	8.677294e-09
3.171875e+01	1.713420e-07	8.660205e-09
3.175000e+01	1.782810e-07	8.643165e-09
3.178125e+01	1.770600e-07	8.626176e-09
3.181250e+01	1.710220e-07	8.609237e-09
3.184375e+01	1.714997e-07	8.594270e-09
3.187500e+01	1.705471e-07	8.580231e-09
3.190625e+01	4.395135e-07	8.566230e-09
3.193750e+01	4.384740e-07	8.552265e-09
3.196875e+01	4.410815e-07	8.538336e-09
3.200000e+01	inf	8.524443e-09
3.203125e+01	4.375535e-07	8.510587e-09
3.206250e+01	4.294565e-07	8.496766e-09
3.209375e+01	4.259670e-07	8.482982e-09
3.212500e+01	1.775890e-07	8.469233e-09
3.215625e+01	1.808056e-07	8.455520e-09
3.218750e+01	1.878426e-07	8.441842e-09
3.221875e+01	1.996914e-07	8.428200e-09
3.225000e+01	2.160794e-07	8.414593e-09
3.228125e+01	2.216283e-07	8.401021e-09
3.231250e+01	2.225705e-07	8.387484e-09
3.234375e+01	2.176531e-07	8.373982e-09
3.237500e+01	2.123589e-07	8.360515e-09
3.240625e+01	1.812990e-07	8.347082e-09
3.243750e+01	4.137702e-07	8.333684e-09
3.246875e+01	4.187398e-07	8.320320e-09
3.250000e+01	4.415616e-07	8.306991e-09
3.253125e+01	4.224065e-07	8.293695e-09
3.256250e+01	4.325388e-07	8.280434e-09
3.259375e+01	1.675672e-07	8.267206e-09
3.262500e+01	1.655256e-07	8.254012e-09
3.265625e+01	1.642432e-07	8.242553e-09
3.268750e+01	1.669128e-07	8.232048e-09
3.271875e+01	1.677995e-07	8.221566e-09
3.275000e+01	1.651506e-07	8.211108e-09
3.278125e+01	1.643110e-07	8.200673e-09
3.281250e+01	1.645670e-07	8.190261e-09
3.284375e+01	1.636529e-07	8.179872e-09
3.287500e+01	1.639419e-07	8.169507e-09
3.290625e+01	1.649978e-07	8.159164e-09
3.293750e+01	1.663528e-07	8.148844e-09
3.296875e+01	1.669986e-07	8.138547e-09
3.300000e+01	1.828787e-07	8.128273e-09
3.303125e+01	1.661478e-07	8.118021e-09
3.306250e+01	1.652450e-07	8.107792e-09
3.309375e+01	1.655349e-07	8.097585e-09
3.312500e+01	1.646378e-07	8.087401e-09
3.315625e+01	1.630466e-07	8.077240e-09
3.318750e+01	4.149396e-07	8.067100e-09
3.321875e+01	1.655136e-07	8.056983e-09
3.325000e+01	1.635177e-07	8.046888e-09
3.328125e+01	1.617010e-07	8.036816e-09
3.331250e+01	1.676246e-07	8.026765e-09
3.334375e+01	1.710945e-07	8.016736e-09
3.337500e+01	1.640273e-07	8.006729e-09
3.340625e+01	1.593565e-07	7.996744e-09
3.343750e+01	4.010660e-07	7.986781e-09
3.346875e+01	4.064553e-07	7.976840e-09
3.350000e+01	4.297988e-07	7.966920e-09
3.353125e+01	4.185441e-07	7.958813e-09
3.356250e+01	4.350739e-07	7.951402e-09
3.359375e+01	1.594712e-07	7.944006e-09
3.362500e+01	1.580379e-07	7.936623e-09
3.365625e+01	1.577905e-07	7.929254e-09
3.368750e+01	1.586121e-07	7.921898e-09
3.371875e+01	1.578477e-07	7.914556e-09
3.375000e+01	1.579365e-07	7.907228e-09
3.378125e+01	1.577143e-07	7.899913e-09
3.381250e+01	1.573780e-07	7.892612e-09
3.384375e+01	1.567644e-07	7.885324e-09
3.387500e+01	1.573927e-07	7.878050e-09
3.390625e+01	1.584364e-07	7.870789e-09
3.393750e+01	4.151244e-07	7.863542e-09
3.396875e+01	4.135907e-07	7.856307e-09
3.400000e+01	1.295905e-06	7.849087e-09
3.403125e+01	4.158725e-07	7.841879e-09
3.406250e+01	4.188656e-07	7.834685e-09
3.409375e+01	1.578082e-07	7.827503e-09
3.412500e+01	1.575263e-07	7.820335e-09
3.415625e+01	1.776447e-07	7.813180e-09
3.418750e+01	2.074355e-07	7.806039e-09
3.421875e+01	1.695984e-07	7.798910e-09
3.425000e+01	1.583600e-07	7.791794e-09
3.428125e+01	1.577123e-07	7.784691e-09
3.431250e+01	1.568072e-07	7.777601e-09
3.434375e+01	1.571740e-07	7.770524e-09
3.437500e+01	1.615843e-07	7.763460e-09
3.440625e+01	1.690672e-07	7.756409e-09
3.443750e+01	1.616071e-07	7.749370e-09
3.446875e+01	1.689124e-07	7.743570e-09
3.450000e+01	1.823648e-07	7.738893e-09
3.453125e+01	1.651367e-07	7.734223e-09
3.456250e+01	1.614070e-07	7.729561e-09
3.459375e+01	1.604941e-07	7.724905e-09
3.462500e+01	1.595027e-07	7.720256e-09
3.465625e+01	1.606231e-07	7.715615e-09
3.468750e+01	1.646395e-07	7.710980e-09
3.471875e+01	1.628726e-07	7.706352e-09
3.475000e+01	1.599266e-07	7.701731e-09
3.478125e+01	1.599346e-07	7.697117e-09
3.481250e+01	1.620477e-07	7.692511e-09
3.484375e+01	1.618122e-07	7.687910e-09
3.487500e+01	1.596338e-07	7.683317e-09
3.490625e+01	1.601407e-07	7.678731e-09
3.493750e+01	1.606164e-07	7.674151e-09
3.496875e+01	1.616584e-07	7.669579e-09
3.500000e+01	1.748549e-07	7.665013e-09
3.503125e+01	1.612087e-07	7.660454e-09
3.506250e+01	1.599185e-07	7.655901e-09
3.509375e+01	1.585529e-07	7.651356e-09
3.512500e+01	1.572700e-07	7.646817e-09
3.515625e+01	1.580873e-07	7.642285e-09
3.518750e+01	1.598056e-07	7.637759e-09
3.521875e+01	1.595158e-07	7.633241e-09
3.525000e+01	1.588915e-07	7.628728e-09
3.528125e+01	1.580231e-07	7.624223e-09
3.531250e+01	1.579885e-07	7.619724e-09
3.534375e+01	1.585927e-07	7.615232e-09
3.537500e+01	1.581649e-07	7.610747e-09
3.540625e+01	1.583952e-07	7.606268e-09
3.543750e+01	1.614474e-07	7.601796e-09
3.546875e+01	1.769347e-07	7.597330e-09
3.550000e+01	1.747226e-07	7.593558e-09
3.553125e+01	1.597140e-07	7.591331e-09
3.556250e+01	1.589590e-07	7.589106e-09
3.559375e+01	1.577010e-07	7.586885e-09
3.562500e+01	1.579830e-07	7.584666e-09
3.565625e+01	5.065329e-07	7.582449e-09
3.568750e+01	1.216117e-06	7.580235e-09
3.571875e+01	1.370578e-06	7.578024e-09
3.575000e+01	7.511614e-07	7.575815e-09
3.578125e+01	5.902923e-07	7.573609e-09
3.581250e+01	4.649851e-07	7.571406e-09
3.584375e+01	5.107037e-07	7.569205e-09
3.587500e+01	9.372153e-07	7.567006e-09
3.590625e+01	3.812881e-06	7.564811e-09
3.593750e+01	6.958930e-07	7.562617e-09
3.596875e+01	4.942221e-07	7.560426e-09
3.600000e+01	2.450784e-06	7.558238e-09
3.603125e+01	4.855521e-07	7.556052e-09
3.606250e+01	4.756611e-07	7.553869e-09
3.609375e+01	4.656615e-07	7.551689e-09
3.612500e+01	4.657464e-07	7.549510e-09
3.615625e+01	4.619199e-07	7.547335e-09
3.618750e+01	1.604137e-07	7.545162e-09
3.621875e+01	1.611554e-07	7.542991e-09
3.625000e+01	1.617653e-07	7.540823e-09
3.628125e+01	1.637197e-07	7.538657e-09
3.631250e+01	1.662102e-07	7.536494e-09
3.634375e+01	1.642592e-07	7.534333e-09
3.637500e+01	1.619901e-07	7.532175e-09
3.640625e+01	1.675234e-07	7.530019e-09
3.643750e+01	4.708964e-07	7.527866e-09
3.646875e+01	4.822452e-07	7.525715e-09
3.650000e+01	5.219562e-07	7.523567e-09
3.653125e+01	5.225333e-07	7.521421e-09
3.656250e+01	5.215750e-07	7.519277e-09
3.659375e+01	4.833031e-07	7.517136e-09
3.662500e+01	5.255986e-07	7.514998e-09
3.665625e+01	6.166104e-07	7.512862e-09
3.668750e+01	2.883891e-06	7.512364e-09
3.671875e+01	8.247941e-07	7.512364e-09
3.675000e+01	5.301178e-07	7.512364e-09
3.678125e+01	4.907347e-07	7.512364e-09
3.681250e+01	4.895829e-07	7.512364e-09
3.684375e+01	5.027153e-07	7.512364e-09
3.687500e+01	4.845026e-07	7.512364e-09
3.690625e+01	4.695166e-07	7.512364e-09
3.693750e+01	4.685018e-07	7.512364e-09
3.696875e+01	1.629127e-07	7.512364e-09
3.700000e+01	1.732816e-07	7.512364e-09
3.703125e+01	1.650025e-07	7.512364e-09
3.706250e+01	1.633116e-07	7.512364e-09
3.709375e+01	1.623014e-07	7.512364e-09
3.712500e+01	1.631759e-07	7.512364e-09
3.715625e+01	1.634515e-07	7.512364e-09
3.718750e+01	1.715642e-07	7.512364e-09
3.721875e+01	1.624309e-07	7.512364e-09
3.725000e+01	1.652491e-07	7.512364e-09
3.728125e+01	1.716305e-07	7.512364e-09
3.731250e+01	1.728291e-07	7.512364e-09
3.734375e+01	1.667331e-07	7.512364e-09
3.737500e+01	1.626635e-07	7.512364e-09
3.740625e+01	1.650019e-07	7.512364e-09
3.743750e+01	1.801392e-07	7.512364e-09
3.746875e+01	1.805731e-07	7.512364e-09
3.750000e+01	1.682691e-07	7.512364e-09
3.753125e+01	1.664802e-07	7.512364e-09
3.756250e+01	1.651385e-07	7.512364e-09
3.759375e+01	1.634591e-07	7.512364e-09
3.762500e+01	4.357289e-07	7.512364e-09
